 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
RAVENNA,10/6/1919
SAN GABRIEL,9/12/1919
MT. HAWKINS FIRE,6/2/1919
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
SAND MT,9/19/1919
 ,<Null>
GRIZZLY FLAT,9/21/1919
 ,<Null>
SILVER HILL,8/27/1919
WEST SHERMAN CK,9/15/1919
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
LYTLE CREEK (#88),8/28/1919
ZACHAU RANCH,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
NEWHALL SAND CANYON,9/16/1919
SAN FERNANDO OIL CO.,8/16/1919
BERRY FLAT,<Null>
RAVENNA,9/18/1919
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
KNEE CAP,<Null>
 ,<Null>
 ,<Null>
BRYANTS MILL,5/27/1920
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
HARDSCABBLE,8/18/1920
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
AMERICAN RIVER,7/1/1920
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
AMERICAN RIVER,7/1/1920
HARTWICK,7/25/1920
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
 ,<Null>
